의류수거함,위치,위도,경도
남현동-52,서울특별시 관악구 승방길 22 뒤,37.4737751607,126.9805734715
남현동-53,서울특별시 관악구 승방길 22 앞,37.4737751607,126.9805734715
남현동-54,서울특별시 관악구 승방길 22 옆,37.4737751607,126.9805734715
남현동-55,서울특별시 관악구 승방길 33,37.4733236779,126.9801126859
남현동-56,서울특별시 관악구 승방길 36,37.4735310409,126.9798202844
남현동-57,서울특별시 관악구 승방길 6,37.4740320974,126.9815008711
남현동-58,서울특별시 관악구 승방길 65,37.4726472828,126.9785296223
남현동-59,서울특별시 관악구 승방길 74,37.4725304107,126.9779800153
남현동-60,서울특별시 관악구 승방길 77,37.4722795955,126.9781199291
남현동-61,서울특별시 관악구 승방길 86,37.4720919229,126.9776806810
남현동-62,서울특별시 관악구 승방길 89,37.4717825523,126.9778736313
대학동-1,서울특별시 관악구 대학5길 29,37.4693693871,126.9395051338
대학동-2,서울특별시 관악구 대학5길 41,37.4694632809,126.9400521891
대학동-3,서울특별시 관악구 대학길 141,37.4649293882,126.9389855773
대학동-4,서울특별시 관악구 대학길 161,37.4643324568,126.9398421960
대학동-5,서울특별시 관악구 대학길 58-6,37.4681962910,126.9372964534
대학동-6,서울특별시 관악구 신림로11가길 28,37.4664473266,126.9381282990
대학동-7,서울특별시 관악구 신림로11길 121,37.4653025831,126.9395036631
대학동-8,서울특별시 관악구 신림로11길 125 앞,37.4651823824,126.9396684551
대학동-9,서울특별시 관악구 신림로11길 140-6,37.4644378227,126.9397392488
대학동-10,서울특별시 관악구 신림로11길 144,37.4644620371,126.9400486090
대학동-11,서울특별시 관악구 신림로11길 35,37.4688674033,126.9389199772
대학동-12,서울특별시 관악구 신림로15길 56,37.4678779977,126.9366839230
대학동-13,서울특별시 관악구 신림로17길 15,37.4700614740,126.9367903780
대학동-14,서울특별시 관악구 신림로19길 25 앞,37.4691870501,126.9359665774
대학동-15,서울특별시 관악구 신림로19길 51 앞,37.4680248556,126.9356703828
대학동-16,서울특별시 관악구 신림로19길 61 앞,37.46768745,126.9352978
대학동-17,서울특별시 관악구 신림로21길 62,37.4677275962,126.9348192129
대학동-18,서울특별시 관악구 신림로21길 66,37.4675668423,126.9347945966
대학동-19,서울특별시 관악구 신림로21길 9 앞,37.4700328090,126.9355985745
