관리단체,의류수거함관리코드,행정동,도로명주소,위도,경도,데이터기준일
강북장애인단체총연합회,송천5-27,송천동,서울특별시 강북구 삼양로20나길 30,37.61605611,127.0240911,2025-03-24
강북장애인단체총연합회,미아3-9,미아동,서울특별시 강북구 도봉로47길 53,37.62390491,127.0230937,2025-03-24
강북장애인단체총연합회,송중9-34,송중동,서울특별시 강북구 도봉로18길 46,37.61886474,127.03144,2025-03-24
강북장애인단체총연합회,삼양-60,삼양동,서울특별시 강북구 인수봉로6길 47,37.62215556,127.0153342,2025-03-24
강북장애인단체총연합회,수유1-12,수유1동,서울특별시 강북구 인수봉로29길 3,37.62987618,127.0130233,2025-03-24
강북장애인단체총연합회,삼양-7,삼양동,서울특별시 강북구 삼양로63길 25-1,37.62722039,127.0165363,2025-03-24
강북장애인단체총연합회,미아3-33,미아동,서울특별시 강북구 솔매로45길 95-35,37.62994073,127.0229582,2025-03-24
강북장애인단체총연합회,인수-13,인수동,서울특별시 강북구 인수봉로 261,37.64204725,127.0106416,2025-03-24
강북장애인단체총연합회,수유2-15,수유2동,서울특별시 강북구 한천로161길 35,37.64581526,127.0173227,2025-03-24
강북장애인단체총연합회,번1-51,번1동,서울특별시 강북구 도봉로96다길 15,37.63980714,127.0328229,2025-03-24
강북장애인단체총연합회,수유3-11,수유3동,서울특별시 강북구 노해로9길 69,37.63788293,127.0180162,2025-03-24
강북장애인단체총연합회,삼양-79,삼양동,서울특별시 강북구 도봉로67길 42-16,37.62974873,127.0215332,2025-03-24
강북장애인단체총연합회,인수-37,인수동,서울특별시 강북구 인수봉로55길 39-18,37.63599127,127.0105179,2025-03-24
강북장애인단체총연합회,송천5-2,송천동,서울특별시 강북구 삼양로38가길 40,37.62261499,127.020743,2025-03-24
강북장애인단체총연합회,우이-59,우이동,서울특별시 강북구 인수봉로81길 11-8,37.64532009,127.0098164,2025-03-24
강북장애인단체총연합회,수유3-35,수유3동,서울특별시 강북구 노해로 42-1,37.63944609,127.0228906,2025-03-24
강북장애인단체총연합회,송중8-25,송중동,서울특별시 강북구 오패산로37길 6-3,37.61538179,127.033037,2025-03-24
강북장애인단체총연합회,송천5-59,송천동,서울특별시 강북구 도봉로15길 19,37.61643551,127.0285831,2025-03-24
강북장애인단체총연합회,수유1-36,수유1동,서울특별시 강북구 인수봉로23가길 10,37.62738421,127.0113342,2025-03-24
강북장애인단체총연합회,우이-2,우이동,서울특별시 강북구 삼양로170길 16,37.66118035,127.0143777,2025-03-24
강북장애인단체총연합회,인수-56,인수동,서울특별시 강북구 삼양로109길 26,37.64193271,127.0152662,2025-03-24
강북장애인단체총연합회,송중9-14,송중동,서울특별시 강북구 오현로9길 111,37.62149761,127.0327653,2025-03-24
강북장애인단체총연합회,번1-26,번1동,서울특별시 강북구 한천로132길 6,37.63924073,127.0285812,2025-03-24
강북장애인단체총연합회,미아3-65,송중동,서울특별시 강북구 오패산로48길 12,37.62127117,127.032621,2025-03-24
강북장애인단체총연합회,우이-26,우이동,서울특별시 강북구 삼양로159나길 19,37.65760312,127.0111269,2025-03-24
강북장애인단체총연합회,삼양-35,삼양동,서울특별시 강북구 인수봉로20길 26,37.62641138,127.012446,2025-03-24
강북장애인단체총연합회,번2-20,번2동,서울특별시 강북구 오현로25길 18-6,37.62832009,127.0373785,2025-03-24
강북장애인단체총연합회,송천5-26,송천동,서울특별시 강북구 도봉로37길 54,37.62187185,127.0245816,2025-03-24
강북장애인단체총연합회,미아3-8,미아동,서울특별시 강북구 도봉로47길 31,37.62416765,127.0243591,2025-03-24
강북장애인단체총연합회,송중9-33,송중동,서울특별시 강북구 도봉로18가길 8,37.61825367,127.0316405,2025-03-24
강북장애인단체총연합회,삼양-59,삼양동,서울특별시 강북구 인수봉로6길 8,37.62212879,127.0132049,2025-03-24
강북장애인단체총연합회,수유1-11,수유1동,서울특별시 강북구 인수봉로31길 5,37.63022868,127.0131546,2025-03-24
강북장애인단체총연합회,삼양-6,삼양동,서울특별시 강북구 삼양로63길 6,37.62756269,127.0176081,2025-03-24
강북장애인단체총연합회,미아3-32,미아동,서울특별시 강북구 도봉로65길 40-6,37.62965591,127.0222935,2025-03-24
강북장애인단체총연합회,인수-12,인수동,서울특별시 강북구 인수봉로73길 7-4,37.64225996,127.0102196,2025-03-24
강북장애인단체총연합회,수유2-14,수유2동,서울특별시 강북구 한천로161길 27-6,37.64551993,127.0175646,2025-03-24
강북장애인단체총연합회,번1-50,번1동,서울특별시 강북구 도봉로102길 70,37.64020605,127.0331237,2025-03-24
강북장애인단체총연합회,수유3-10,수유3동,서울특별시 강북구 노해로9길 65,37.6379566,127.0182079,2025-03-24
강북장애인단체총연합회,삼양-78,삼양동,서울특별시 강북구 삼양로58가길 23-8,37.62769393,127.0203932,2025-03-24
강북장애인단체총연합회,인수-36,인수동,서울특별시 강북구 인수봉로61길 65,37.63729563,127.0102627,2025-03-24
강북장애인단체총연합회,송천5-1,송천동,서울특별시 강북구 삼양로46가길 18,37.62346515,127.0200408,2025-03-24
강북장애인단체총연합회,우이-58,인수동,서울특별시 강북구 인수봉로79길 13,37.64485313,127.0100039,2025-03-24
강북장애인단체총연합회,수유3-34,수유3동,서울특별시 강북구 한천로139나길 14-8,37.63975329,127.0251753,2025-03-24
강북장애인단체총연합회,송중8-24,송중동,서울특별시 강북구 오현로8길 6,37.6161267,127.0326762,2025-03-24
강북장애인단체총연합회,송천5-58,송천동,서울특별시 강북구 삼양로38라길 27,37.62007236,127.0227134,2025-03-24
강북장애인단체총연합회,수유1-35,수유1동,서울특별시 강북구 인수봉로23가길 4-18,37.62743191,127.0105746,2025-03-24
강북장애인단체총연합회,우이-1,우이동,서울특별시 강북구 삼양로 644,37.66023049,127.0139255,2025-03-24
강북장애인단체총연합회,인수-55,인수동,서울특별시 강북구 삼양로109길 20-5,37.64212389,127.0155017,2025-03-24
강북장애인단체총연합회,송중9-13,송중동,서울특별시 강북구 오현로9길 133,37.62253128,127.0324574,2025-03-24
강북장애인단체총연합회,번1-25,번1동,서울특별시 강북구 한천로124가길 53,37.63852102,127.0298143,2025-03-24
강북장애인단체총연합회,미아3-64,미아동,서울특별시 강북구 오패산로52사길 61,37.6286405,127.0302824,2025-03-24
강북장애인단체총연합회,우이-25,우이동,서울특별시 강북구 삼양로155나길 30,37.6580863,127.0107238,2025-03-24
강북장애인단체총연합회,삼양-34,삼양동,서울특별시 강북구 인수봉로20가길 5,37.62615077,127.0125287,2025-03-24
강북장애인단체총연합회,번2-19,번2동,서울특별시 강북구 오현로25길 27,37.62817013,127.0366667,2025-03-24
강북장애인단체총연합회,송천5-25,미아동,서울특별시 강북구 오패산로52바길 30,37.62696002,127.0319242,2025-03-24
강북장애인단체총연합회,미아3-7,미아동,서울특별시 강북구 도봉로49길 59,37.62435678,127.0232578,2025-03-24
강북장애인단체총연합회,송중9-32,송중동,서울특별시 강북구 도봉로18길 29,37.61815039,127.0311321,2025-03-24
강북장애인단체총연합회,삼양-58,삼양동,서울특별시 강북구 솔샘로31길 10,37.62066397,127.0125899,2025-03-24
강북장애인단체총연합회,수유1-10,수유1동,서울특별시 강북구 인수봉로37길 10,37.63187767,127.0131668,2025-03-24
강북장애인단체총연합회,삼양-5,삼양동,서울특별시 강북구 삼양로65길 10,37.62770542,127.0174363,2025-03-24
강북장애인단체총연합회,미아3-31,미아동,서울특별시 강북구 도봉로65길 73,37.62870561,127.0206972,2025-03-24
강북장애인단체총연합회,인수-11,인수동,서울특별시 강북구 인수봉로73나길 27,37.64130429,127.0090765,2025-03-24
강북장애인단체총연합회,수유2-13,수유2동,서울특별시 강북구 삼양로122길 33-2,37.64532725,127.0171478,2025-03-24
강북장애인단체총연합회,번1-49,번1동,서울특별시 강북구 도봉로98길 33,37.64147629,127.0319968,2025-03-24
강북장애인단체총연합회,수유3-9,수유3동,서울특별시 강북구 노해로9길 59,37.63800466,127.0185698,2025-03-24
