행정동,도로명주소,위도,경도,데이터기준일자
시흥1동,서울특별시 금천구 독산로41길 93,37.45711792,126.9014056,2025-01-02
시흥1동,서울특별시 금천구 시흥대로70길 20,37.45668126,126.9010568,2025-01-02
시흥1동,서울특별시 금천구 시흥대로70길 13,37.45684105,126.9007828,2025-01-02
시흥1동,서울특별시 금천구 독산로35길 51-11,37.45882213,126.9025367,2025-01-02
시흥1동,서울특별시 금천구 시흥대로51길 11-8,37.45082183,126.900987,2025-01-02
시흥1동,서울특별시 금천구 시흥대로72길 13,37.45717302,126.9002911,2025-01-02
시흥2동,서울특별시 금천구 탑골로10길 3,37.45187583,126.91474,2025-01-02
시흥2동,서울특별시 금천구 탑골로 77,37.45323316,126.9170693,2025-01-02
시흥2동,서울특별시 금천구 탑골로 71,37.45284415,126.9164987,2025-01-02
시흥2동,서울특별시 금천구 탑골로11길 1,37.45235545,126.9153812,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 60-15,37.43453402,126.9068744,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 57-10,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 57-21,37.43572429,126.9057757,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 35-12,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로6길 35-21,37.43703961,126.9045587,2025-01-02
시흥3동,서울특별시 금천구 시흥대로24길 7,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 47,37.43500446,126.9058716,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 55,37.43509866,126.9061609,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 52-3,37.43474434,126.9065588,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 52-20,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 44-20,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 44-16,37.43418036,126.9058368,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 44-3,37.43470374,126.9060345,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 18,37.4346521,126.9043344,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 8-51,37.43423249,126.904775,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 8-41,37.43415929,126.9053982,2025-01-02
시흥3동,서울특별시 금천구 시흥대로2길 36-16,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로 120-8,37.44472235,126.9045134,2025-01-02
시흥3동,서울특별시 금천구 시흥대로36길 18-13,37.44368886,126.9057265,2025-01-02
시흥3동,서울특별시 금천구 시흥대로28길 35-24,37.4434616,126.9062607,2025-01-02
시흥3동,서울특별시 금천구 시흥대로36길 36,37.44409346,126.9056608,2025-01-02
시흥3동,서울특별시 금천구 시흥대로32길 9,37.44286795,126.9050534,2025-01-02
시흥3동,서울특별시 금천구 시흥대로28길 35-6,37.44264932,126.9061208,2025-01-02
시흥3동,서울특별시 금천구 시흥대로34길 22,37.44299769,126.9058257,2025-01-02
시흥3동,서울특별시 금천구 시흥대로34길 6,37.44304294,126.9049538,2025-01-02
시흥3동,서울특별시 금천구 시흥대로36길 11,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로26길 23,37.44193017,126.9050484,2025-01-02
시흥3동,서울특별시 금천구 시흥대로26길 41,37.44197852,126.9061293,2025-01-02
시흥3동,서울특별시 금천구 시흥대로26길 69-10,37.44229699,126.907687,2025-01-02
시흥3동,서울특별시 금천구 시흥대로28길 54,37.44238062,126.9069025,2025-01-02
시흥3동,서울특별시 금천구 시흥대로28길 47-7,37.44274163,126.9062961,2025-01-02
시흥3동,서울특별시 금천구 시흥대로20길 21,37.44132203,126.9042103,2025-01-02
시흥3동,서울특별시 금천구 시흥대로12길 9-21,37.44007597,126.9040457,2025-01-02
시흥3동,서울특별시 금천구 시흥대로14길 6,37.43941195,126.9044135,2025-01-02
시흥3동,서울특별시 금천구 시흥대로12길 9,37.43940614,126.9039132,2025-01-02
시흥3동,서울특별시 금천구 시흥대로12길 21,37.43918089,126.9046603,2025-01-02
시흥3동,서울특별시 금천구 시흥대로12길 33,37.43915078,126.9053476,2025-01-02
시흥3동,서울특별시 금천구 시흥대로14길 26,37.43933203,126.9055306,2025-01-02
시흥3동,서울특별시 금천구 시흥대로14길 20,37.43933831,126.9051554,2025-01-02
시흥3동,서울특별시 금천구 시흥대로14길 12,37.43936515,126.9047409,2025-01-02
시흥3동,서울특별시 금천구 시흥대로14길 9,37.43960559,126.9046447,2025-01-02
시흥3동,서울특별시 금천구 시흥대로16길 30,37.43984191,126.905865,2025-01-02
시흥3동,서울특별시 금천구 시흥대로16길 34,37.43985167,126.906128,2025-01-02
시흥3동,서울특별시 금천구 시흥대로16길 47,37.44030561,126.9069374,2025-01-02
시흥3동,서울특별시 금천구 시흥대로12길 75,37.44006883,126.907171,2025-01-02
시흥3동,서울특별시 금천구 시흥대로12길 72-1,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로36길 74,37.44266915,126.9069259,2025-01-02
시흥3동,서울특별시 금천구 시흥대로36길 61,37.44371187,126.907361,2025-01-02
시흥3동,서울특별시 금천구 시흥대로22길 17,37.44105781,126.9053911,2025-01-02
시흥3동,서울특별시 금천구 시흥대로22길 23,37.44101282,126.9056884,2025-01-02
시흥3동,서울특별시 금천구 시흥대로22길 29,37.44101494,126.9060921,2025-01-02
시흥3동,서울특별시 금천구 시흥대로22길 35,37.44101956,126.9063485,2025-01-02
시흥3동,서울특별시 금천구 시흥대로24길 50,37.44127366,126.9071654,2025-01-02
시흥3동,서울특별시 금천구 시흥대로24길 33,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로24길 27-1,0.00E+00,0.00E+00,2025-01-02
시흥3동,서울특별시 금천구 시흥대로24길 23,37.44150465,126.9057626,2025-01-02
시흥3동,서울특별시 금천구 시흥대로24길 8,37.44121899,126.9048057,2025-01-02
시흥3동,서울특별시 금천구 시흥대로16길 8,37.43982921,126.9046364,2025-01-02
시흥3동,서울특별시 금천구 시흥대로16길 21,37.44008199,126.90536,2025-01-02
시흥3동,서울특별시 금천구 시흥대로16길 25,37.44007662,126.9056299,2025-01-02
시흥3동,서울특별시 금천구 시흥대로18길 56,37.44029342,126.9066655,2025-01-02
시흥3동,서울특별시 금천구 시흥대로18길 46,37.4402992,126.9061194,2025-01-02
시흥3동,서울특별시 금천구 시흥대로18길 35,37.4405633,126.9056872,2025-01-02
시흥3동,서울특별시 금천구 시흥대로18길 19,37.44068184,126.9047482,2025-01-02
시흥3동,서울특별시 금천구 시흥대로20길 4,37.44058146,126.9045091,2025-01-02
시흥3동,서울특별시 금천구 시흥대로38길 43,37.44561531,126.9044743,2025-01-02
시흥3동,서울특별시 금천구 시흥대로38길 47,37.44578736,126.9044259,2025-01-02
시흥3동,서울특별시 금천구 시흥대로38길 51,37.44595628,126.9044,2025-01-02
시흥3동,서울특별시 금천구 시흥대로38길 55,37.44612528,126.9043629,2025-01-02
